je	I
Comment vous-appelez vous? Comment t'appelles-tu? (fam)	What's your nameي
Je m'appelle...	My name is...
Enchanté(e).	Pleased to meet you.
Je vous présente...	I'd like you to meet...
Voici...	This is...
le prénom	first name
le nom (de famille)	last name
Mademoiselle (pl. Mesdemoiselles)	Miss
Monsieur (pl. Messieurs)	Mr., Sir
Madame (pl. Mesdames)	Mrs., Ma'am
l'Heure (f)	Time
Quelle heure est-il?	What time is itي
Avez-vous l'heure?	Do you have the timeي Do you know what time it isي
? quelle heure est le concert?	What time is the concertي
Il est...	It is...
une heure	1:00
deux heures	2:00
deux heures dix	2:10
deux heures et quart	2:15
deux heures et demie	2:30
trois heures moins le quart	2:45
trois heures moins dix	2:50
midi	noon
minuit	midnight
de la nuit	...at night
du matin	...in the morning
de l'après-midi	...in the afternoon
du soir	...in the evening
15h30 (3:30 p.m.) reads quinze heures trente.	3:30 p.m.
le matin	morning
l'aube (f), l'aurore (f)	dawn
le lever du soleil	sunrise
le jour, la journée	day
l'après-midi (m)	afternoon
le soir	evening
le crépuscule	dusk
le coucher du soleil	sunset
la nuit	night
l'heure (f)	hour
la minute	minute
la seconde	second
la mâchoire	jaw
la gorge	throat
les taches de rousseur	freckles
la moustache	moustache
la barbe	beard
le sein	bosom, breast
le ventre	belly
la *hanche	hip
la peau	skin
l'os (m)	bone
le sang	blood
le crâne	skull
le poumon	lung
les Directions (f)	Directions
le nord	north
le sud	south
l'est (m)	east
l'ouest (m)	west
le nord-est	northeast
le nord-ouest	northwest
le sud-est	southeast
le sud-ouest	southwest
à gauche	left
à droite	right
tout droit	straight ahead
Tournez à droite.	Turn right.
...dans le bon sens	...in the right direction
...dans le mauvais sens	...in the wrong direction
les Couleurs (f)	Colors
blanc(he)	white
jaune	yellow
rose	pink
rouge	red
orange	orange
vert(e)	green
bleu(e)	blue
violet(te)	purple
brun(e)	brown
gris(e)	gray
noir(e)	black
doré(e)	gold
argenté(e)	silver
bleu clair	light blue
bleu foncé	dark blue
les Rapports (m)	Relationships
la Famille	Family
les parents (m)	parents, relatives
la mère	mother
la maman	mom
le père	father
le papa	dad
le mari	husband
la femme	wife
l'époux (-se)	spouse
le fils	son
la fille	daughter
le frère	brother
la sœur	sister
l'enfant unique (m, f)	only child
cadet(te)	younger
aîné(e)	older
le jumeau (la jumelle)	twin
la tante	aunt
l'oncle (m)	uncle
le neveu	nephew
la nièce	niece
le/la cousin(e)	cousin
les grands-parents (m)	grandparents
le grand-père	grandfather
la grand-mère (pl. grands-mères)	grandmother
l'arrière-grand-père	great-grandfather
les petits-enfants	grandchildren
le petit-fils	grandson
la petite-fille	granddaughter
l'arrière-petite-fille (f)	great-grand-daughter
le beau-père	father-in-law, stepfather
la belle-mère	mother-in-law, stepmother
la belle-fille	daughter-in-law, stepdaughter
le beau-fils	stepson
le gendre	son-in-law
le beau-frère	brother-in-law, stepbrother
