je	I
infirmier (-ière)	nurse
pilote (m, f)	pilot
photographe	photographer
plombier (m)	plumber
policier (m), gendarme (m)	policeman
vendeur (-euse)	salesperson
secrétaire (m, f)	secretary
gardien(ne)	security guard
chanteur (-euse)	singer
étudiant(e)	student
soldat (m)	soldier
professeur (m)	teacher
ouvrier (-ière)	worker (in factory)
écrivain (m)	writer
la Santé	Health
Comment vous sentez-vous?	How are you feelingي
Je ne me sens pas bien.	I don't feel well.
Je me sens...	I feel...
...bien.	...well.
...mieux.	...better.
...pire.	...worse.
?a fait mal.	It hurts.
J'ai mal au cœur.	I feel nauseated.
J'ai mal...	I have...
...à la tête.	...a headache.
...à la gorge.	...a sore throat.
...aux dents.	...a toothache.
...à l'oreille.	...an earache.
...au dos.	...a backache.
...au ventre.	...a stomach-ache.
Je suis enrhumé(e).	I have a cold.
avoir chaud	to be hot
avoir froid	to be cold
avoir une allergie [à]	to be allergic [to]
se casser le bras	to break an arm
éternuer	to sneeze
tousser	to cough
s'évanouir	to faint
malade	sick
en bonne santé	healthy, fit
fatigué(e)	tired
aveugle	blind
sourd(e)	deaf
la maladie	disease, illness
la douleur	pain
la toux	cough
le rhume	cold
la fièvre	fever
la grippe	flu
la varicelle	chicken pox
[le bras] cassé	broken [arm]
la blessure	wound
la cicatrice	scar
le SIDA	AIDS
séropositif (-ve)	HIV-positive
la crise cardiaque	heart attack
le médecin, le docteur	doctor
l'infirmier (-ière)	nurse
le médicament	medicine (i.e., drug)
le pansement	bandage
le sparadrap	Band-Aid
un comprimé	a pill
la pilule	the Pill
les gouttes (f)	drops
le fauteuil roulant	wheelchair
le régime	diet
perdre/prendre du poids	to lose/ gain weight
maigrir	to get thinner
grossir	to get fatter
jeûner	to fast
l'Hygiène (f) et la Toilette	Hygiene and Grooming
le savon	soap
le rasoir	razor
le shampooing	shampoo
le dentifrice	toothpaste
la brosse à dents	toothbrush
le peigne	comb
la brosse à cheveux	hairbrush
le maquillage	makeup
le rouge à lèvres	lipstick
le bouton	pimple
le point noir	blackhead
[se] laver	to wash [self]
se laver les mains	to wash (one's) hands
se baigner	to bathe
se raser	to shave
se brosser les dents	to brush (one's) teeth
se brosser les cheveux	to brush (one's) hair
se peigner	to comb (self)
se maquiller	to put on makeup
les Vêtements (m)	Clothing
porter	to wear/carry
mettre	to put on
enlever	to take off
s'habiller	to get dressed
se déshabiller	to get undressed
Cette jupe te va bien.	This skirt fits you well.
coudre	to sew
le fil	thread
l'aiguille (f)	needle
les ciseaux (m)	scissors
repasser	to iron
nettoyer	to clean
la manche	sleeve
la poche	pocket
long(ue)	long
la dentelle	lace
la soie	silk
la fourrure	fur
le cuir	leather
à carreaux	checked
à pois	polka-dotted
à rayures	striped
à la mode	fashionable
le Restaurant	Restaurant
Qu'est-ce que vous voudriez?	What would you likeي
Je prends...	I'll have...
Où sont les toilettes?	Where is the restroomي
Je n'en peux plus. J'ai trop mangé.	I'm (too) full.
la carte	menu
service compris	tip included
le serveur/ la serveuse	waiter/ waitress
le couvert	place setting
la carafe d'eau	water pitcher
plein(e), rempli(e)	full (not empty)
commander	to order
partager	to share
sur place	eat-in
à emporter	take-out
l'addition (f)	check, bill
le pourboire	tip
les Plats (m)	Courses
les *hors-d'œuvres (m)	appetizers, starters
l'entrée (f)	first course
le plat principal	main course, entrée
le dessert	dessert
le Manger	Food
manger	to eat
boire	to drink
avoir faim	to be hungry
avoir soif	to be thirsty
cuisiner	to cook (intr.)
cuire	to cook (tr.)
chauffer	to heat
goûter	to taste
les Repas (m)	Meals
le petit déjeuner	breakfast
le déjeuner	lunch
le dîner	dinner
le souper	supper
le goûter	snack
la Préparation	Preparation
cru(e)	raw
cuit(e)	cooked
cuit(e) au four	baked
frit(e)	fried
cuit(e) à la vapeur	steamed
rôti	roasted
grillé(e)	grilled
le Gout	Taste
amer (amère)	bitter
aigre	sour
sucré(e)	sweet
salé(e)	salty
épicé(e)	spicy
délicieux	tasty, delicious
les Produits (m) laitiers	Dairy Products
le lait	milk
...écrémé	skim...
...demi-écrémé	2-percent...
le beurre	butter
le fromage	cheese
la crème	cream
la crème fraîche	sour cream
le yaourt	yogurt
les Céréales (f)	Grains
la céréale	cereal
le pain	bread
...complet	whole wheat
...de seigle	rye
les Condiments (m)	Condiments
la sauce	sauce
l'épice (f)	spice
le vinaigre	vinegar
le sel	salt
le sucre	sugar
le poivre	pepper (spice)
l'ail (m)	garlic
l'huile (f) [d'olive]	[olive] oil
la mayonnaise	mayonnaise
la moutarde	mustard
la confiture	jam
les Desserts (m)	Dessert
le gâteau	cake
la glace	ice cream
le biscuit	cookie
la chantilly	whipped cream
le chocolat	chocolate
la crêpe [sucrée]	[sweet] crepe
les Casse-Croûtes	Light Meals
l'œuf (m)	egg
la salade	salad
l'assiette (f) de crudités (f)	vegetable plate
la vinaigrette	dressing
le sandwich	sandwich
la charcuterie	cold cuts (deli)
la Viande	Meat
le bœuf	beef
le jambon	ham
l'agneau (m)	lamb
le porc	pork
le veau	veal
les escargots (m)	snails
les Fruits (m) de mer	Seafood
le *homard	lobster
le crabe	crab
